speaker_id	aliases	voice_type	cn_voice_name	cn_style	cn_pitch	cn_rate	cn_volume
アストルフォ	アストルフォ	androgynous	zh-CN-XiaoyouMultilingualNeural	cheerful	+5%	1.04	100
アスクレピオス	アスクレピオス	young_male	zh-CN-YunyangNeural		-1%	0.96	100
クー・フーリン	クー・フーリン	mature_male	zh-CN-YunfengNeural	cheerful	-2%	1.00	100
パーシヴァル	パーシヴァル	mature_male	zh-TW-YunJheNeural		-2%	0.96	100
マーリン	マーリン	mature_male	zh-CN-YunyiMultilingualNeural		+1%	1.01	100
虞美人	虞美人	young_female	zh-TW-HsiaoChenNeural		-1%	0.95	100
アナスタシア	アナスタシア	young_female	zh-TW-HsiaoYuNeural		+1%	0.95	100
ナポレオン	ナポレオン	mature_male	zh-CN-YunjianNeural	cheerful	-2%	1.02	100
呼延灼	呼延灼	young_female	zh-CN-XiaohanNeural	embarrassed	+2%	1.00	100
ダンテ	ダンテ	young_male	zh-CN-YunyiMultilingualNeural		-2%	0.96	100
風魔小太郎	風魔小太郎	young_male	zh-TW-YunJheNeural		+1%	0.98	100
キルケー	キルケー	mature_female	zh-TW-HsiaoYuNeural		+1%	0.98	100
ガレス	ガレス	young_female	zh-TW-HsiaoChenNeural		+3%	1.01	100
イリヤ	イリヤ	child_female	zh-CN-XiaoshuangNeural	chat	+7%	0.99	100
酒呑童子	酒呑童子	mature_female	zh-CN-XiaomoNeural	affectionate	+1%	0.93	100
モレー	モレー	androgynous	zh-TW-HsiaoChenNeural		0%	0.96	100
沖田総司	沖田総司	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.04	100
三蔵	三蔵	young_female	zh-TW-HsiaoYuNeural		+2%	1.03	100
武則天	武則天	child_female	zh-CN-XiaoyouMultilingualNeural	angry	+5%	0.98	100
アキレウス	アキレウス	mature_male	zh-CN-YunjianNeural	cheerful	-1%	1.04	100
ライネス	ライネス	young_female	zh-CN-XiaochenMultilingualNeural		+1%	0.96	100
カルナ	カルナ	mature_male	zh-CN-YunjieNeural		-2%	0.94	100
トリスタン	トリスタン	mature_male	zh-CN-YunzeNeural	sad	-3%	0.92	100
キリシュタリア	キリシュタリア	young_male	zh-CN-YunfanMultilingualNeural		-1%	0.96	100
エジソン	エジソン	mature_male	zh-CN-YunhaoNeural		-1%	1.02	100
パッションリップ	パッションリップ	young_female	zh-CN-XiaorouNeural		+2%	0.96	100
ゴッホ	ゴッホ	young_female	zh-CN-XiaoruiNeural	sad	+1%	0.94	100
エレシュキガル	エレシュキガル	young_female	zh-CN-XiaoxiaoMultilingualNeural	empathetic	+2%	0.97	100
アルジュナ	アルジュナ	mature_male	zh-CN-YunyangNeural		-2%	0.95	100
巴御前	巴御前	mature_female	zh-CN-XiaozhenNeural	serious	+1%	0.97	100
玉藻の前	玉藻の前	mature_female	zh-CN-XiaohanNeural	affectionate	+1%	0.98	100
ムニエル	ムニエル	mature_male	zh-CN-YunxiNeural	chat	+1%	1.03	100
バーソロミュー	バーソロミュー	mature_male	zh-CN-YunxiaoMultilingualNeural		0%	1.00	100
シグルド	シグルド	mature_male	zh-CN-YunjieNeural		-3%	0.94	100
徐福	徐福	young_female	zh-CN-XiaomengNeural	chat	+3%	1.02	100
織田信長	織田信長	young_female	zh-CN-XiaozhenNeural	angry	+3%	1.03	100
サリエリ	サリエリ	mature_male	zh-CN-YunjianNeural	serious	-3%	0.93	100
ヴラド三世	ヴラド三世	elder_male	zh-CN-YunzeNeural	serious	-5%	0.91	100
ハベトロット	ハベトロット	child_female	zh-CN-XiaoyouMultilingualNeural	cute	+6%	1.03	100
シェヘラザード	シェヘラザード	mature_female	zh-CN-XiaorouNeural		-1%	0.93	100
マリー	マリー	young_female	zh-TW-HsiaoChenNeural		+2%	1.00	100
宮本伊織	宮本伊織	young_male	zh-CN-YunyiMultilingualNeural		0%	0.97	100
マルタ	マルタ	mature_female	zh-CN-XiaohanNeural	cheerful	+1%	0.98	100
エルキドゥ	エルキドゥ	androgynous	zh-CN-XiaoyuMultilingualNeural		+1%	0.96	100
高杉晋作	高杉晋作	young_male	zh-TW-YunJheNeural		+1%	1.03	100
エレナ	エレナ	young_female	zh-TW-HsiaoYuNeural		+3%	1.02	100
テペウ	テペウ	mature_male	zh-CN-YunyangNeural		-4%	0.93	100
クリームヒルト	クリームヒルト	mature_female	zh-CN-XiaoruiNeural	sad	-3%	0.93	100
伊吹童子	伊吹童子	mature_female	zh-CN-XiaomoNeural		-1%	0.96	100
ヨハンナ	ヨハンナ	young_female	zh-TW-HsiaoChenNeural		+1%	0.97	100
オデュッセウス	オデュッセウス	mature_male	zh-CN-YunfengNeural		-2%	0.96	100
鈴鹿御前	鈴鹿御前	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.04	100
アンデルセン	アンデルセン	child_male	zh-CN-YunxiaNeural		+5%	0.98	100
長尾景虎	長尾景虎	young_female	zh-CN-XiaozhenNeural	cheerful	+2%	1.03	100
Ｘ・オルタ	Ｘ・オルタ	young_female	zh-CN-XiaoshuangMultilingualNeural		+2%	0.96	100
ガネーシャ	ガネーシャ	young_female	zh-CN-XiaomengNeural	chat	+1%	0.98	100
フェルグス	フェルグス	mature_male	zh-CN-YunyeNeural	cheerful	-3%	1.02	100
坂本龍馬	坂本龍馬	young_male	zh-TW-YunJheNeural		0%	0.97	100
Ｓイシュタル	Ｓイシュタル	young_female	zh-CN-XiaoyuMultilingualNeural		+3%	1.03	100
サンソン	サンソン	young_male	zh-CN-YunfanMultilingualNeural		-1%	0.95	100
ナイチンゲール	ナイチンゲール	mature_female	zh-CN-XiaozhenNeural	serious	-1%	0.96	100
燕青	燕青|新宿のアサシン	young_male	zh-CN-YunxiNeural		+1%	1.04	100
岸波白野	岸波白野	androgynous	zh-CN-XiaoyuMultilingualNeural		0%	0.98	100
フローラ	フローラ	young_female	zh-CN-XiaoqiuNeural		+3%	1.01	100
ニキチッチ	ニキチッチ	androgynous	zh-CN-XiaoshuangNeural		+1%	0.98	100
アマゾネスＣＥＯ	アマゾネスＣＥＯ	mature_female	zh-CN-XiaozhenNeural	angry	-1%	1.03	100
ブリュンヒルデ	ブリュンヒルデ	mature_female	zh-TW-HsiaoChenNeural		-1%	0.94	100
殺生院キアラ	殺生院キアラ	mature_female	zh-CN-XiaomoNeural	affectionate	-1%	0.93	100
パールヴァティー	パールヴァティー	young_female	zh-TW-HsiaoYuNeural		+1%	0.97	100
ナーサリー・ライム	ナーサリー・ライム	child_female	zh-CN-XiaoyouNeural	cute	+7%	1.02	100
斎藤一	斎藤一	young_male	zh-CN-YunxiaoMultilingualNeural		0%	1.01	100
Ｘ	Ｘ	young_female	zh-CN-XiaoyiNeural	cheerful	+4%	1.04	100
メカエリチャン	メカエリチャン	mechanical	zh-CN-XiaoxiaoNeural	assistant	-2%	0.92	100
ブラダマンテ	ブラダマンテ	young_female	zh-TW-HsiaoYuNeural		+3%	1.03	100
ドゥリーヨダナ	ドゥリーヨダナ	mature_male	zh-CN-YunhaoNeural		-2%	1.03	100
ジークフリート	ジークフリート	mature_male	zh-CN-YunjieNeural		-3%	0.94	100
グレイ	グレイ	young_female	zh-CN-XiaorouNeural		+1%	0.95	100
メルトリリス	メルトリリス	young_female	zh-CN-XiaohanNeural		+2%	1.01	100
クロエ	クロエ	child_female	zh-CN-XiaoshuangMultilingualNeural		+6%	1.04	100
ブーディカ	ブーディカ	mature_female	zh-CN-XiaorouNeural		-1%	0.95	100
ケイローン	ケイローン	mature_male	zh-CN-YunyangNeural		-3%	0.92	100
沖田オルタ	沖田オルタ	young_female	zh-CN-XiaoruiNeural	calm	+1%	0.96	100
オジマンディアス	オジマンディアス	mature_male	zh-CN-YunjianNeural	serious	-3%	0.96	100
ビリー	ビリー	young_male	zh-CN-YunxiaoMultilingualNeural		+2%	1.04	100
クレオパトラ	クレオパトラ	mature_female	zh-TW-HsiaoChenNeural		-1%	0.94	100
ベディヴィエール	ベディヴィエール|ベディヴィエール？	young_male	zh-CN-YunyiMultilingualNeural		+1%	0.96	100
ドレイク	ドレイク|ドレイク？	mature_female	zh-CN-XiaoyanNeural		-1%	1.00	100
バーゲスト	バーゲスト	mature_female	zh-CN-XiaozhenNeural		-3%	0.93	100
哪吒	哪吒	young_female	zh-CN-XiaoyuMultilingualNeural		+2%	1.00	100
シェイクスピア	シェイクスピア	mature_male	zh-TW-YunJheNeural		0%	0.96	100
アストライア	アストライア|神霊アストライア	mature_female	zh-CN-XiaoxiaoMultilingualNeural		+1%	0.98	100
アタランテ・オルタ	アタランテ・オルタ	mature_female	zh-CN-XiaoruiNeural		-3%	0.94	100
シャルルマーニュ	シャルルマーニュ	young_male	zh-CN-YunfanMultilingualNeural		+2%	1.04	100
Ｕ－オルガマリー	Ｕ－オルガマリー|Ｕ－オルガマリー？|大統領	young_female	zh-CN-XiaozhenNeural		-2%	0.94	100
ジーク	ジーク	young_male	zh-CN-YunxiNeural		+1%	0.97	100
ガウェイン	ガウェイン|ガウェイン？	mature_male	zh-CN-YunhaoNeural		-1%	0.96	100
タマモキャット	タマモキャット	young_female	zh-CN-XiaomengNeural		+5%	1.05	100
ヴリトラ	ヴリトラ	mature_female	zh-CN-XiaomoNeural		-2%	0.95	100
ヘクトール	ヘクトール|ヘクトール？	mature_male	zh-CN-YunyeNeural		-4%	0.91	100
ジェロニモ	ジェロニモ	mature_male	zh-CN-YunzeNeural		-4%	0.92	100
荊軻	荊軻	mature_female	zh-CN-XiaoqiuNeural		0%	0.98	100
ビショーネ	ビショーネ|ビショーネ？	young_female	zh-CN-XiaorouNeural		+1%	0.96	100
メタトロン・ジャンヌ	メタトロン・ジャンヌ|裁判長	young_female	zh-CN-XiaoxiaoMultilingualNeural		0%	0.95	100
シトナイ	シトナイ	child_female	zh-CN-XiaoshuangMultilingualNeural		+5%	0.98	100
ノッブ	ノッブ	young_female	zh-CN-XiaozhenNeural		+3%	1.03	100
紅閻魔	紅閻魔	child_female	zh-CN-XiaoshuangNeural		+6%	1.03	100
楊貴妃	楊貴妃|楊貴妃？	mature_female	zh-CN-XiaohanNeural		+1%	0.95	100
岡田以蔵	岡田以蔵|岡田以蔵？	mature_male	zh-CN-YunfengNeural		-2%	1.02	100
アルトリア・オルタ	アルトリア・オルタ	mature_female	zh-TW-HsiaoChenNeural		-3%	0.92	100
デオン	デオン|デオン？	androgynous	zh-CN-YunxiaNeural		+1%	0.98	100
柳生但馬守	柳生但馬守	elder_male	zh-CN-YunyangNeural		-6%	0.90	100
アルトリア・キャスター	アルトリア・キャスター	young_female	zh-TW-HsiaoChenNeural		+1%	0.98	100
鬼一法眼	鬼一法眼	mature_female	zh-CN-XiaochenNeural		+1%	0.98	100
カエサル	カエサル|カエサル？	mature_male	zh-CN-YunjianNeural		-3%	0.92	100
おみぃさん	おみぃさん|蛇女房	mature_female	zh-CN-XiaorouNeural		0%	0.94	100
カズラドロップ	カズラドロップ	child_female	zh-CN-XiaoyouMultilingualNeural		+4%	0.99	100
ボイジャー	ボイジャー	child_male	zh-CN-YunxiaNeural		+5%	1.02	100
ケツァル・コアトル	ケツァル・コアトル	mature_female	zh-CN-XiaomengNeural		+2%	1.04	100
ＢＢコスモ	ＢＢコスモ	young_female	zh-CN-XiaochenMultilingualNeural		+2%	1.02	100
セミラミス	セミラミス|セミラミス？|セミラミス？？	mature_female	zh-CN-XiaoruiNeural		-3%	0.92	100
テスカトリポカ	テスカトリポカ	mature_male	zh-CN-YunjieNeural		-3%	0.94	100
マタ・ハリ	マタ・ハリ|マタ・ハリ？	mature_female	zh-CN-XiaomoNeural		0%	0.96	100
ラクシュミー	ラクシュミー	mature_female	zh-CN-XiaoqiuNeural		0%	0.94	100
ジャンヌ・オルタ・サンタ・リリィ	ジャンヌ・オルタ・サンタ・リリィ	child_female	zh-CN-XiaoyouNeural		+5%	1.02	100
張角	張角	elder_male	zh-CN-YunzeNeural		-5%	0.91	100
ジャガーマン	ジャガーマン	young_female	zh-CN-XiaoyiNeural		+3%	1.06	100
カレン	カレン|カレン？	young_female	zh-CN-XiaochenMultilingualNeural		0%	0.97	100
アルテラサンタ	アルテラサンタ	young_female	zh-CN-XiaohanNeural		+1%	0.98	100
サンチョ	サンチョ	mature_female	zh-CN-XiaorouNeural		0%	0.95	100
スーパーバニヤン	スーパーバニヤン	young_female	zh-CN-XiaomengNeural		+3%	1.04	100
アシュヴァッターマン	アシュヴァッターマン	mature_male	zh-CN-YunfengNeural		-1%	1.06	100
アヴィケブロン	アヴィケブロン	mature_male	zh-CN-YunyeNeural		-4%	0.92	100
カーミラ	カーミラ|カーミラ？	mature_female	zh-CN-XiaoruiNeural		-4%	0.91	100
ミス・クレーン	ミス・クレーン	mature_female	zh-CN-XiaoqiuNeural		+1%	1.00	100
ベリル	ベリル	mature_male	zh-CN-YunjieNeural		-2%	0.96	100
エミヤ・オルタ	エミヤ・オルタ|エミヤ・オルタ？	mature_male	zh-CN-YunhaoNeural		-5%	0.92	100
リリス	リリス	young_female	zh-CN-XiaoxiaoNeural		-2%	0.94	100
パツシィ	パツシィ	young_male	zh-CN-YunxiNeural		-1%	0.96	100
レディ・アヴァロン	レディ・アヴァロン	mature_female	zh-CN-XiaohanNeural		+1%	0.94	100
徴側	徴側	mature_female	zh-CN-XiaoyanNeural		0%	0.96	100
コロンブス	コロンブス|コロンブス？	mature_male	zh-CN-YunyangNeural		-4%	0.93	100
クー・フーリン・オルタ	クー・フーリン・オルタ|クー・フーリン・オルタ？	mature_male	zh-CN-YunjianNeural		-4%	0.95	100
ヤマトタケル	ヤマトタケル	androgynous	zh-CN-YunxiaNeural		+1%	0.97	100
アーラシュ	アーラシュ	mature_male	zh-CN-YunfanMultilingualNeural		0%	0.98	100
新宿のアーチャー	新宿のアーチャー	elder_male	zh-CN-YunzeNeural		-6%	0.93	100
織田信勝	織田信勝|織田信勝？	young_male	zh-CN-YunxiaoMultilingualNeural		+3%	1.03	100
始皇帝	始皇帝	androgynous	zh-CN-YunyiMultilingualNeural		-1%	0.92	100
ノクナレア	ノクナレア	young_female	zh-CN-XiaochenNeural		+2%	1.01	100
蒼崎青子	蒼崎青子	young_female	zh-CN-XiaoyuMultilingualNeural		+2%	1.04	100
ディルムッド	ディルムッド	mature_male	zh-CN-YunyeNeural		-1%	0.97	100
ドラコー	ドラコー|ドラコー？	child_female	zh-CN-XiaoshuangNeural		+4%	0.94	100
茶々	茶々|浅井茶々	child_female	zh-CN-XiaoshuangMultilingualNeural		+5%	1.06	100
ゼノビア	ゼノビア|ゼノビア？	mature_female	zh-CN-XiaoqiuNeural		-1%	0.94	100
ビーマ	ビーマ	mature_male	zh-CN-YunfengNeural		-1%	1.04	100
ベオウルフ	ベオウルフ	mature_male	zh-CN-YunjieNeural		-2%	1.02	100
ニコラ・テスラ	ニコラ・テスラ|ニコラ・テスラ？	mature_male	zh-CN-YunyangNeural		0%	1.02	100
モルガン	モルガン	young_female	zh-CN-XiaoyanNeural		-2%	0.94	100
ラムダ	ラムダ	young_female	zh-CN-XiaoxiaoMultilingualNeural		0%	0.97	100
アルテミス	アルテミス	young_female	zh-CN-XiaomengNeural		+2%	1.04	100
ランスロット	ランスロット|ランスロット？	mature_male	zh-CN-YunhaoNeural		-2%	0.96	100
アーユス	アーユス|近付いてくるアーユスの声	young_female	zh-CN-XiaoyouMultilingualNeural		+2%	0.99	100
マカリオス	マカリオス	young_male	zh-CN-YunxiNeural		+1%	0.98	100
メディア	メディア|メディア？|メディア店長	mature_female	zh-CN-XiaoruiNeural		-3%	0.92	100
セタンタ	セタンタ	young_male	zh-CN-YunxiaoMultilingualNeural		+3%	1.05	100
卑弥呼	卑弥呼	young_female	zh-CN-XiaoyiNeural		+3%	1.03	100
メディア・リリィ	メディア・リリィ	child_female	zh-CN-XiaoyouNeural		+5%	1.00	100
ジャック	ジャック|ジャック（アサシン）|ジャック・ザ・リッパー|ジャック？	child_female	zh-CN-XiaoshuangNeural		+4%	0.96	100
春日局	春日局	mature_female	zh-CN-XiaorouNeural		-1%	0.94	100
オフェリア	オフェリア	young_female	zh-CN-XiaoxiaoNeural		-1%	0.95	100
蘭陵王	蘭陵王|蘭陵王（沈痛）	androgynous	zh-CN-YunyiMultilingualNeural		0%	0.97	100
バーヴァン・シー	バーヴァン・シー	young_female	zh-CN-XiaochenMultilingualNeural		+1%	0.99	100
アンドロメダ	アンドロメダ	young_female	zh-CN-XiaoyuMultilingualNeural		+2%	1.04	100
パラケルスス	パラケルスス|パラケルスス？	mature_male	zh-CN-YunyeNeural		-3%	0.93	100
バゼット	バゼット	mature_female	zh-CN-XiaoyanNeural		-1%	0.98	100
呪腕のハサン	呪腕のハサン|呪腕のハサン（？）|呪腕のハサン？	mature_male	zh-CN-YunjianNeural		-5%	0.90	100
武田晴信	武田晴信	mature_male	zh-CN-YunfengNeural		0%	1.03	100
土方歳三	土方歳三	mature_male	zh-CN-YunjieNeural		-3%	0.96	100
ククルカン	ククルカン	young_female	zh-CN-XiaochenNeural		+2%	1.03	100
ネモ・マリーン	ネモ・マリーン	child_male	zh-CN-YunxiaNeural		+4%	1.05	100
巌窟王	巌窟王	mature_male	zh-CN-YunhaoNeural		-5%	0.91	100
壱与	壱与	young_female	zh-CN-XiaoxiaoMultilingualNeural		+1%	1.01	100
ジェーン	ジェーン	young_female	zh-CN-XiaomengNeural		+3%	1.06	100
ロウヒ	ロウヒ	mature_female	zh-CN-XiaomoNeural		-2%	0.94	100
李書文	李書文	mature_male	zh-CN-YunjianNeural		-3%	0.95	100
ティアマト	ティアマト	young_female	zh-CN-XiaohanNeural		0%	0.94	100
森長可	森長可	mature_male	zh-CN-YunfengNeural		-1%	1.05	100
ジキル	ジキル	mature_male	zh-CN-YunfanMultilingualNeural		-1%	0.96	100
ジュネス	ジュネス	young_female	zh-CN-XiaoyouMultilingualNeural		+3%	1.04	100
ワンジナ	ワンジナ|ワンジナ？	child_female	zh-CN-XiaoyouNeural		+5%	1.05	100
エウリュアレ	エウリュアレ	young_female	zh-CN-XiaoyiNeural		+2%	1.02	100
ヒッポリュテ	ヒッポリュテ	young_female	zh-CN-XiaoyanNeural		-1%	0.97	100
ＢＢドバイ	ＢＢドバイ	young_female	zh-CN-XiaochenMultilingualNeural		+1%	1.01	100
アマデウス	アマデウス|アマデウス？	mature_male	zh-CN-YunyeNeural		-1%	0.98	100
メフィストフェレス	メフィストフェレス|メフィスト|メフィストフェレス（敵）|メフィストフェレス（？）	mature_male	zh-CN-YunjieNeural		+1%	1.06	100
アス	アス|アスカラポス	young_male	zh-CN-YunxiaoMultilingualNeural		+2%	1.04	100
エレシュキガル・オルタ	エレシュキガル・オルタ	young_female	zh-CN-XiaoxiaoMultilingualNeural		0%	0.95	100
シバの女王	シバの女王	mature_female	zh-CN-XiaoqiuNeural		-1%	0.96	100
パリス	パリス|パリス？	child_male	zh-CN-YunxiaNeural		+4%	1.04	100
ガラテア	ガラテア	mature_female	zh-CN-XiaoxiaoNeural		-1%	0.94	100
コンスタンティノス	コンスタンティノス	mature_male	zh-CN-YunhaoNeural		-2%	0.94	100
ドン・キホーテ	ドン・キホーテ	elder_male	zh-CN-YunzeNeural		-6%	0.91	100
蘆屋道満	蘆屋道満	androgynous	zh-CN-YunyiMultilingualNeural		-3%	0.96	100
子ギル	子ギル	child_male	zh-CN-YunxiNeural		+3%	1.03	100
バベッジ	バベッジ	mechanical	zh-CN-YunzeNeural		-5%	0.90	100
インドラ	インドラ	mature_male	zh-CN-YunyangNeural		-2%	0.98	100
九紋竜エリザ	九紋竜エリザ	young_female	zh-TW-HsiaoYuNeural		+5%	1.05	100
リンボ	リンボ|キャスター・リンボ|キャスター・リンボ？	androgynous	zh-CN-YunyiMultilingualNeural		-4%	0.97	100
テュフォン・エフェメロス	テュフォン・エフェメロス	young_female	zh-CN-XiaomengNeural		+1%	0.96	100
山南敬助	山南敬助	mature_male	zh-CN-YunyeNeural		-1%	0.96	100
フランソワ	フランソワ|フランソワ・プレラーティ|フランソワ？	androgynous	zh-CN-XiaoyuMultilingualNeural		+1%	1.04	100
ラスプーチン	ラスプーチン|Ｋ・ラスプーチン|Ｋ・ラスプーチン（ゲスト解説）	mature_male	zh-TW-YunJheNeural		-4%	0.93	100
千利休	千利休|利休	elder_female	zh-CN-XiaoruiNeural		-4%	0.90	100
渡辺綱	渡辺綱	mature_male	zh-CN-YunjianNeural		-2%	0.96	100
デメテル	デメテル|デメテル？	mature_female	zh-CN-XiaomoNeural		-3%	0.92	100
黒姫	黒姫	young_female	zh-CN-XiaochenNeural		+1%	0.98	100
弁慶	弁慶	mature_male	zh-CN-YunfengNeural		-4%	0.94	100
ネモ・プロフェッサー	ネモ・プロフェッサー	young_female	zh-CN-XiaoyouMultilingualNeural		+2%	1.04	100
由井正雪	由井正雪	young_female	zh-CN-XiaoxiaoMultilingualNeural		0%	0.96	100
出雲阿国	出雲阿国	young_female	zh-CN-XiaozhenNeural		+2%	1.04	100
永倉新八	永倉新八	elder_male	zh-CN-YunzeNeural		-5%	0.94	100
煉獄	煉獄	mechanical	zh-CN-YunfanMultilingualNeural		-1%	0.95	100
ロクスタ	ロクスタ	young_female	zh-CN-XiaoyouNeural		+4%	1.06	100
ダビデ	ダビデ	young_male	zh-CN-YunxiaoMultilingualNeural		+1%	1.00	100
サンタマルタ	サンタマルタ	young_female	zh-CN-XiaohanNeural		+3%	1.03	100
フラン	フラン|フランケンシュタイン	young_female	zh-CN-XiaoshuangMultilingualNeural		+1%	0.92	100
スルーズ	スルーズ|スルーズ（しっかりもの）	young_female	zh-CN-XiaoxiaoNeural		0%	0.96	100
アルジュナ・オルタ	アルジュナ・オルタ	mature_male	zh-CN-YunyangNeural		-5%	0.90	100
ゲオルギウス	ゲオルギウス	mature_male	zh-CN-YunhaoNeural		-2%	0.94	100
ラニ＝ⅩⅡ	ラニ＝ⅩⅡ	mature_female	zh-CN-XiaomoNeural		-1%	0.96	100
アン	アン	mature_female	zh-CN-XiaoyanNeural		0%	1.02	100
ソロモン	ソロモン	mature_male	zh-CN-YunyeNeural		-3%	0.92	100
杉谷善住坊	杉谷善住坊|杉谷	androgynous	zh-CN-XiaoyuMultilingualNeural		-1%	0.96	100
メアリー	メアリー	young_female	zh-CN-XiaoyiNeural		+2%	1.03	100
イスカンダル	イスカンダル	mature_male	zh-TW-YunJheNeural		-5%	0.94	100
サンタオルタ	サンタオルタ	mature_female	zh-TW-HsiaoChenNeural		-1%	0.96	100
